gis_id,area_m2,nBuild_veryheavy,nBuild_heavy,nBuild_moderate,nBuild_slight
0,3173132.37004,0.012004,0.172366,2.276544,8.522147
1,7961695.19234,0.06749,0.49339,4.391586,15.320282
2,27879057.6745,1.456038,8.570043,51.49664,124.653974
3,622040.639794,110.996426,213.559589,568.449195,847.675693
4,403692.124796,77.764516,144.36128,392.431638,644.818918
5,369512.942368,59.765988,114.262197,333.284016,559.791515
6,227775.461934,44.749313,72.631504,218.188304,375.425452
7,351122.417615,54.23728,104.146224,307.896911,530.978362
8,358231.131848,41.956089,70.026073,204.371527,309.657869
9,432167.438906,77.747063,124.553173,361.954434,595.67752
10,707464.515872,60.771725,93.742,242.093526,338.474269
11,3596608.31294,23,76,465,1180
12,861905.563247,2.647498,8.000093,83.77183,385.574303
13,1532662.74179,7.767678,24.21492,172.878464,506.647478
14,893821.832772,1.481622,4.815914,50.760274,252.700327
15,1503880.12431,4.120655,16.796162,127.635203,372.750464
16,1050986.04688,1,10,88,244
17,635344.924073,1,6,49,129
18,1561739.8753,2,13,108,371
19,971436.589038,0,3,24,61
20,11929587.5144,1,6,46,125
21,1579406.52464,1,6,53,146
22,29517235.3223,45.483601,186.360172,780.388851,1145.828909
23,3171553.84019,81,147,488,752
24,813544.525892,88,143,521,922
25,465361.139709,67.879055,108.873597,327.378907,570.572955
26,1504794.18102,62,93,200,167
27,574360.905103,79.716884,123.662833,329.782339,457.382596
28,466798.709727,76.689811,118.921659,340.849233,571.826679
29,318474.930563,53.303973,83.355449,237.490926,371.461452
30,360614.900804,56.378489,86.51962,228.701557,309.824454
31,500081.041473,128.424369,184.791186,455.897785,621.004175
32,939754.72786,138.539393,186.446224,408.455511,448.424846
33,859837.24241,50.04889,76.217758,208.513347,293.471147
34,291927.13427,46.608619,72.484225,208.065035,349.921331
35,404032.016462,51.853482,82.372527,250.805521,471.671688
36,438341.547701,63.752953,99.994915,319.857288,653.898899
37,310245.718574,49.271888,77.449599,222.142442,389.034091
38,274561.137395,41.747679,81.664819,245.322262,365.026567
39,312505.074227,43.525533,78.891796,237.554385,422.139771
40,422058.683586,41.205246,69.618276,225.905564,486.520442
41,985199.432799,81.292084,130.082546,349.828315,510.408893
42,168800.42741,28.908862,47.64253,128.360784,180.749465
43,81176.0700971,7.328429,12.871949,43.035822,103.492509
44,176974.480137,9.482304,17.209078,60.04303,149.390814
45,133116.945664,3.94362,8.539476,28.050932,42.944902
46,88872.8329595,5.734392,13.085499,43.326583,62.683459
47,102312.840738,8.897344,18.689027,57.12782,73.631622
48,86467.3058369,12.375424,24.504629,71.945472,90.931962
49,50844.4253412,9.290468,17.288692,48.332215,59.288268
50,84714.3825254,17.58084,29.7158,79.331144,104.529723
51,106496.748926,14.553083,20.761002,44.213018,49.114505
52,290694.345564,9.39409,19.906115,68.137389,111.553271
53,112361.900542,6.773887,11.694044,36.760892,68.162598
54,208577.980936,28.596865,50.846997,154.625306,249.501333
55,47160.9956373,9.76763,20.058299,64.817626,111.261081
56,103457.626926,6.243333,12.132802,37.529501,62.769436
57,82092.1453089,12.478215,25.501434,85.100971,144.292208
58,51364.1757846,11.999312,22.652454,68.78145,105.688243
59,110313.180688,18.622794,31.759929,94.333477,135.124393
60,147434.123363,20.776893,35.268175,107.925255,181.306894
61,67041.5820244,13.428481,23.461846,69.643929,106.96206
62,109747.811748,28.896416,50.762003,151.031358,225.720802
63,125680.375229,18.689648,33.022051,98.731696,152.630196
64,150911.356614,22.952489,41.149881,123.64378,187.275674
65,66052.9488736,13.032498,24.788001,77.498629,115.110815
66,149542.853761,19.681137,36.338417,111.513778,176.338536
67,201721.029479,11.076092,20.343087,67.18872,137.159502
68,202674.148707,17.115576,34.364447,97.971632,124.063134
69,251913.34548,27.217473,53.243753,163.600373,232.038643
70,158312.632858,11.508925,22.414455,68.676266,99.743404
71,139766.606484,10.472913,21.186352,78.413853,161.054189
72,307064.41545,12.533833,23.843178,75.360307,145.792274
73,879767.169247,25.338418,53.370457,157.488447,211.256297
