node_gis_id,district_gis_id
0,826
1,586
2,174
3,175
4,610
5,701
6,407
7,391
8,582
9,582
10,352
11,660
12,499
13,499
14,499
15,499
16,499
17,610
18,610
19,499
20,610
21,110
22,499
23,499
24,499
25,499
26,499
27,106
28,109
29,528
30,528
31,582
32,582
33,528
34,96
35,175
36,171
37,637
38,635
39,635
40,461
41,635
42,613
43,613
44,638
45,638
46,773
47,626
48,626
49,626
50,638
51,638
52,665
53,665
54,462
55,462
56,660
57,660
58,694
59,694
60,697
61,697
62,462
63,462
64,852
65,839
66,110
67,110
68,586
69,586
70,697
71,697
72,638
73,638
74,462
75,407
76,407
77,407
78,407
79,390
80,111
81,407
82,407
83,407
84,407
85,407
86,353
87,353
88,339
89,339
90,339
91,339
92,393
93,393
94,494
95,494
96,494
97,494
98,494
99,494
100,494
101,393
102,393
103,483
104,483
105,399
106,399
107,490
108,483
109,483
110,483
111,483
112,317
113,630
114,630
115,626
116,626
117,626
118,626
119,630
120,630
121,630
122,630
123,807
124,807
125,13
126,13
127,13
128,459
129,635
130,13
131,13
132,545
133,545
134,547
135,550
136,626
137,626
138,626
139,389
140,517
141,516
142,543
143,550
144,665
145,665
146,543
147,550
148,665
149,810
150,810
151,810
152,298
153,810
154,810
155,810
156,810
157,810
158,810
159,810
160,462
161,462
162,461
163,635
164,635
165,635
166,461
167,13
168,660
169,660
170,660
171,660
172,393
173,399
174,483
175,483
176,483
177,483
178,483
179,317
180,393
181,393
182,393
183,348
184,359
185,359
186,359
187,359
188,875
189,875
190,359
191,359
192,359
193,381
194,359
195,365
196,366
197,366
198,359
199,359
200,361
201,359
202,359
203,359
204,360
205,360
206,360
207,360
208,359
209,359
210,348
211,13
212,13
213,665
214,665
215,550
216,13
217,665
218,543
219,550
220,550
221,262
222,262
223,693
224,693
225,289
226,289
227,289
228,279
229,291
230,291
231,291
232,289
233,289
234,291
235,291
236,291
237,293
238,498
239,500
240,399
241,399
242,393
243,393
244,394
245,399
246,393
247,393
248,390
249,390
250,111
251,407
252,111
253,407
254,407
255,407
256,407
257,111
258,390
259,875
260,494
261,498
262,494
263,494
264,494
265,494
266,494
267,423
268,423
269,423
270,428
271,433
272,433
273,433
274,433
275,433
276,429
277,429
278,428
279,429
280,196
281,432
282,428
283,428
284,429
285,429
286,432
287,432
288,432
289,432
290,374
291,374
292,374
293,374
294,374
295,780
296,780
297,780
298,780
299,780
300,771
301,771
302,771
303,771
304,775
305,775
306,775
307,775
308,780
309,780
310,780
311,780
312,775
313,775
314,359
315,772
316,773
317,773
318,775
319,771
320,776
321,163
322,163
323,400
324,164
325,400
326,400
327,400
328,400
329,400
330,164
331,164
332,164
333,164
334,164
335,164
336,164
337,163
338,163
339,163
340,163
341,163
342,163
343,163
344,163
345,163
346,400
347,400
348,400
349,400
350,400
351,400
352,400
353,400
354,400
355,400
356,400
357,400
358,400
359,407
360,400
361,400
362,407
363,400
364,400
365,400
366,401
367,400
368,400
369,400
370,372
371,372
372,219
373,219
374,374
375,374
376,219
377,372
378,219
379,219
380,369
381,219
382,369
383,369
384,369
385,369
386,219
387,164
388,219
389,219
390,219
391,369
392,369
393,369
394,373
395,372
396,370
397,372
398,373
399,219
400,111
401,391
402,391
403,407
404,391
405,391
406,219
407,166
408,369
409,219
410,369
411,369
412,371
413,332
414,326
415,332
416,326
417,326
418,326
419,371
420,332
421,326
422,332
423,332
424,332
425,326
426,332
427,332
428,332
429,332
430,326
431,332
432,326
433,332
434,339
435,340
436,332
437,348
438,348
439,348
440,353
441,353
442,352
443,353
444,350
445,351
446,348
447,348
448,353
449,351
450,349
451,348
452,377
453,377
454,378
455,875
456,377
457,875
458,875
459,377
460,377
461,378
462,374
463,432
464,374
465,374
466,517
467,517
468,79
469,389
470,389
471,175
472,389
473,517
474,267
475,517
476,516
477,516
478,516
479,516
480,89
481,465
482,465
483,86
484,610
485,610
486,610
487,610
488,610
489,499
490,289
491,279
492,279
493,683
494,683
495,697
496,586
497,586
498,698
499,586
500,304
501,705
502,304
503,304
504,304
505,705
506,310
507,310
508,310
509,377
510,656
511,656
512,301
513,301
514,465
515,465
516,517
517,517
518,517
519,517
520,301
521,310
522,639
523,611
524,310
525,613
526,611
527,301
528,301
529,465
530,465
531,175
532,516
533,175
534,799
535,799
536,423
537,423
538,656
539,666
540,656
541,663
542,663
543,663
544,361
545,359
546,359
547,359
548,546
549,547
550,546
551,545
552,547
553,394
554,394
555,494
556,494
557,494
558,332
559,332
560,340
561,542
562,363
563,364
564,262
565,263
566,263
567,263
568,263
569,262
570,262
571,262
572,267
573,267
574,267
575,267
576,171
577,267
578,267
579,171
580,171
581,267
582,267
583,171
584,267
585,267
586,267
587,267
588,267
589,267
590,267
591,267
592,267
593,267
594,267
595,267
596,267
597,267
598,267
599,267
600,267
601,267
602,267
603,267
604,517
605,517
606,586
607,630
608,630
609,807
610,723
611,807
612,314
613,694
614,694
615,697
616,803
617,586
618,803
619,825
620,826
621,825
622,852
623,825
624,825
625,304
626,339
627,339
628,339
629,341
630,517
631,517
632,363
633,363
634,350
635,350
636,374
637,374
638,374
639,374
640,374
641,377
642,377
643,377
644,875
645,875
646,96
647,96
648,498
649,498
650,500
651,500
652,500
653,498
654,498
655,498
656,501
657,498
658,498
659,491
660,489
661,491
662,491
663,489
664,489
665,660
666,660
667,660
668,660
669,663
670,662
671,662
672,662
673,666
674,301
675,301
676,462
677,462
678,638
679,638
680,355
681,348
682,164
683,164
684,164
685,550
686,543
687,662
688,662
689,461
690,461
691,289
692,289
693,163
694,693
695,693
696,693
697,693
698,693
699,693
700,693
701,693
702,693
703,693
704,339
705,400
706,400
707,400
708,499
709,499
710,499
711,499
712,800
713,800
714,799
715,799
716,799
717,800
718,800
719,528
720,528
721,528
722,528
723,528
724,528
725,528
726,528
727,348
728,353
729,348
730,353
731,545
732,545
733,663
734,377
735,377
736,377
737,377
738,374
739,374
740,374
741,374
742,374
743,377
744,377
745,374
746,528
747,528
748,528
749,528
750,528
751,528
752,528
753,528
754,374
755,374
756,374
757,374
758,105
759,105
760,109
761,109
762,498
763,500
764,500
765,500
766,500
767,500
768,500
769,500
770,500
771,500
772,498
773,498
774,499
775,499
776,489
777,489
778,491
779,491
780,491
781,491
782,491
783,488
784,491
785,528
786,582
787,582
788,96
789,516
790,483
791,491
792,488
793,488
794,488
795,399
796,666
797,663
798,391
799,391
800,391
801,391
802,391
803,394
804,391
805,656
806,666
807,666
808,109
809,110
810,610
811,582
812,582
813,400
814,400
815,400
816,400
817,400
818,400
819,400
820,400
821,400
822,400
823,400
824,400
825,400
826,400
827,400
828,491
829,491
830,483
831,483
832,483
833,483
834,483
835,398
836,398
837,490
838,490
839,494
840,494
841,494
842,494
843,398
844,399
845,399
846,490
847,490
848,399
849,399
850,398
851,490
852,490
853,494
854,494
855,398
856,398
857,398
858,490
859,398
860,398
861,397
862,397
863,398
864,398
865,494
866,397
867,494
868,494
869,494
870,500
871,500
872,839
873,698
874,803
875,586
876,586
877,803
878,494
879,660
880,582
881,582
882,582
883,582
884,582
885,339
886,339
887,339
888,364
889,776
890,825
891,849
892,825
893,825
894,825
895,825
896,825
897,656
898,656
899,660
900,374
901,374
902,560
903,560
904,693
905,693
906,293
907,309
908,293
909,293
910,693
911,693
912,309
913,309
914,293
915,293
916,560
917,810
918,298
919,298
920,613
921,291
922,291
923,291
924,293
925,293
926,291
927,291
928,291
929,291
930,291
931,693
932,693
933,693
934,693
935,693
936,693
937,693
938,807
939,807
940,807
941,666
942,666
943,666
944,666
945,666
946,666
947,663
948,663
949,656
950,656
951,656
952,662
953,662
954,663
955,663
956,662
957,662
958,662
959,666
960,666
961,666
962,662
963,662
964,666
965,666
966,666
967,665
968,665
969,666
970,666
971,665
972,460
973,461
974,633
975,631
976,461
977,633
978,631
979,459
980,460
981,219
982,461
983,461
984,635
985,635
986,635
987,635
988,635
989,635
990,360
991,361
992,360
993,360
994,360
995,339
996,361
997,922
998,922
999,875
1000,875
1001,875
1002,875
1003,875
1004,875
1005,171
1006,171
1007,171
1008,171
1009,398
1010,398
1011,317
1012,665
1013,665
1014,545
1015,545
1016,546
1017,545
1018,694
1019,314
1020,968
1021,966
1022,966
1023,968
1024,963
1025,963
1026,963
1027,963
1028,966
1029,963
1030,963
1031,966
1032,963
1035,963
1036,968
1037,966
1038,963
1039,963
1040,963
1041,963
1042,963
1043,963
1044,963
1045,963
1046,963
1047,966
1048,963
1049,963
1050,963
1051,963
1052,963
1053,867
1054,860
1055,968
1056,968
1057,968
1058,968
1059,968
1060,968
1061,968
1062,968
1063,968
1064,968
1065,968
1066,860
1067,860
1068,860
1069,860
1070,905
1071,860
1072,905
1073,860
1074,860
1075,860
1076,860
1077,860
1078,958
1079,860
1080,905
1081,860
1082,860
1083,905
1084,860
1085,860
1086,905
1087,905
1088,860
1089,958
1090,969
1091,969
1092,860
1093,867
1094,860
1095,905
1096,905
1097,860
1098,860
1099,905
1100,905
1101,860
1102,860
1103,860
1104,860
1105,860
1106,860
1107,860
1108,860
1109,866
1110,866
1111,860
1112,860
1113,866
1114,866
1115,860
1116,860
1117,860
1118,861
1119,861
1120,861
1121,861
1122,861
1123,861
1124,860
1125,861
1126,861
1127,861
1128,861
1129,861
1130,860
1131,860
1132,861
1133,825
1134,592
1135,756
1136,756
1137,592
1138,756
1139,854
1140,854
1141,756
1142,854
1143,854
1144,854
1145,854
1146,861
1147,861
1148,856
1149,856
1150,861
1151,854
1152,854
1153,856
1154,856
1155,855
1156,855
1157,592
1158,592
1159,855
1160,855
1161,756
1162,756
1163,756
1164,756
1165,756
1166,756
1167,756
1168,756
1169,756
1170,756
1171,756
1172,756
1173,756
1174,756
1175,592
1176,591
1177,591
1178,592
1179,592
1180,592
1181,592
1182,591
1183,591
1184,592
1185,592
1186,591
1187,591
1188,593
1189,593
1190,593
1191,593
1192,593
1193,593
1194,593
1195,593
1196,593
1197,593
1198,593
1199,594
1200,594
1201,593
1202,594
1203,594
1204,593
1205,593
1206,591
1207,591
