underRoad_gis_id,overRoad_gis_id
2,3789
2,7504
4,1172
4,1174
5,4327
5,5421
5,8413
5,12747
5,12749
5,12756
5,12762
5,12765
3908,9
4758,9
13316,9
13953,11
12,14
12,1802
12,14
1602,14
3085,14
15,373
15,374
19,4327
19,5421
19,8413
19,12747
19,12749
19,12756
19,12762
19,12765
21,708
23,3659
23,3789
23,5829
23,7504
23,10792
23,10795
23,10800
23,10803
23,10807
23,10810
25,113
25,114
25,115
525,28
1707,29
29,21195
524,36
2722,38
5807,45
9370,45
48,7586
48,7587
53,15040
53,15044
2726,54
3194,67
68,1220
85,3936
85,5168
87,28223
87,28430
525,88
8527,88
9367,88
88,14876
89,2051
90,3914
90,3917
91,2050
91,2901
91,10000
11969,91
94,5651
355,95
404,95
2276,95
96,160
96,2051
99,162
100,2052
100,2552
34455,101
20037,103
20037,104
20037,105
106,108
106,110
20037,107
106,108
737,108
2582,108
109,14794
106,110
737,110
2582,110
111,13775
25,113
118,113
1375,113
25,114
118,114
1375,114
25,115
118,115
1375,115
117,14876
118,113
118,114
118,115
119,14999
123,22792
520,124
2283,124
2872,127
3037,127
2872,130
3037,130
3035,134
3035,135
137,34255
137,34258
138,22394
139,22394
194,142
344,142
24267,143
27774,143
13412,144
13417,144
146,13459
146,17204
149,147
15109,147
149,148
15109,148
149,147
149,148
13457,149
15004,150
17289,150
24267,155
27774,155
329,156
572,156
96,160
34454,160
34454,161
99,162
162,2552
18755,166
18755,167
26145,168
31543,168
26145,170
31543,170
18857,173
19614,173
18857,176
19614,176
177,3169
177,3171
21310,178
21577,178
21578,178
21596,178
21597,178
21310,180
21577,180
21578,180
21596,180
21597,180
4176,181
8261,181
4176,182
8261,182
12595,183
193,184
184,2009
184,34268
12595,185
188,186
1324,186
2991,186
188,186
193,188
188,2009
188,34268
190,3361
190,8000
33662,191
192,2009
192,34268
193,184
193,188
193,2254
194,142
194,496
194,1351
3194,196
197,14525
3140,198
3144,198
3140,199
3144,199
11095,201
7061,203
7061,204
206,2679
11095,207
3332,209
12650,209
210,3898
210,7458
212,3898
212,7458
3332,214
12650,214
3120,223
3734,223
12509,223
2415,224
2664,224
1388,225
7834,241
7846,241
242,5715
242,5716
242,9359
242,9718
24679,242
1316,243
3388,244
6655,244
7895,244
12543,244
6655,248
12543,248
3388,249
7895,249
3388,251
1329,258
3391,258
2778,265
661,267
4475,267
7887,267
1402,268
269,4396
269,4399
269,7629
271,4396
271,4399
271,7629
5015,280
5022,280
297,282
3451,282
8275,282
16432,282
16433,282
19779,282
297,283
3451,283
8275,283
16432,283
16433,283
19779,283
13298,284
16426,284
5015,285
5022,285
13297,286
16426,286
16586,286
289,307
289,1368
292,15009
292,16427
297,282
297,283
19779,298
19779,300
2010,301
35356,301
1520,305
2547,305
3107,305
306,15009
306,16427
289,307
2199,307
2994,307
1163,308
2994,308
11052,308
312,310
3479,310
7773,310
311,11019
312,310
312,314
312,314
3479,314
7773,314
316,315
3476,315
11032,315
316,315
316,317
316,317
3476,317
11032,317
322,3474
3476,324
7806,325
7807,325
7880,325
8657,325
11847,325
7770,327
8722,327
329,156
329,33739
334,13717
338,3884
338,3887
338,13717
2735,342
8279,342
12774,342
344,142
344,496
344,1351
345,22783
