road_gis_id,dist_gis_id
0,826
1,586
2,175
3,175
4,175
5,607
6,407
7,407
8,582
9,660
10,499
11,499
12,499
13,610
14,610
15,110
16,499
17,499
18,499
19,108
20,528
21,582
22,96
23,173
24,635
25,635
26,635
27,613
28,638
29,626
30,626
31,626
32,626
33,626
34,626
35,626
36,638
37,638
38,665
39,462
40,660
41,660
42,694
43,697
44,697
45,462
46,852
47,839
48,110
49,586
50,697
51,697
52,638
53,462
54,462
55,407
56,407
57,390
58,390
59,407
60,407
61,407
62,353
63,353
64,339
65,339
66,393
67,494
68,494
69,494
70,494
71,494
72,393
73,483
74,399
75,483
76,483
77,483
78,630
79,626
80,626
81,630
82,630
83,807
84,13
85,13
86,459
87,457
88,635
89,13
90,545
91,547
92,626
93,626
94,389
95,516
96,550
97,665
98,665
99,543
100,550
101,665
102,543
103,810
104,810
105,810
106,810
107,810
108,810
109,810
110,810
111,810
112,462
113,462
114,462
115,638
116,635
117,635
118,635
119,635
120,635
121,461
122,461
123,13
124,13
125,660
126,660
127,393
128,483
129,399
130,483
131,483
132,483
133,317
134,483
135,393
136,393
137,339
138,359
139,359
140,875
141,359
142,359
143,381
144,365
145,366
146,366
147,366
148,361
149,366
150,359
151,360
152,360
153,360
154,360
155,359
156,348
157,348
158,13
159,665
160,550
161,665
162,543
163,550
164,262
165,693
166,289
167,289
168,279
169,291
170,291
171,289
172,289
173,291
174,291
175,291
176,293
177,500
178,399
179,399
180,393
181,394
182,393
183,390
184,390
185,407
186,111
187,407
188,407
189,407
190,407
191,111
192,390
193,407
194,359
195,875
196,494
197,494
198,494
199,494
200,494
201,423
202,423
203,428
204,433
205,433
206,433
207,433
208,429
209,428
210,428
211,428
212,196
213,433
214,432
215,428
216,429
217,432
218,432
219,432
220,432
221,374
222,374
223,374
224,374
225,374
226,780
227,780
228,780
229,771
230,771
231,775
232,775
233,775
234,780
235,780
236,775
237,359
238,773
239,771
240,771
241,365
242,640
243,163
244,164
245,400
246,400
247,400
248,400
249,164
250,164
251,164
252,164
253,164
254,164
255,163
256,163
257,163
258,163
259,163
260,163
261,400
262,400
263,400
264,400
265,400
266,400
267,400
268,400
269,407
270,400
271,407
272,400
273,400
274,400
275,400
276,401
277,400
278,400
279,372
280,219
281,374
282,370
283,370
284,219
285,219
286,369
287,219
288,219
289,369
290,369
291,219
292,219
293,219
294,369
295,369
296,369
297,372
298,370
299,373
300,373
301,111
302,111
303,391
304,407
305,391
306,219
307,369
308,369
309,369
310,332
311,332
312,326
313,326
314,332
315,326
316,332
317,332
318,332
319,326
320,326
321,332
322,332
323,332
324,332
325,340
326,332
327,332
328,339
329,348
330,348
331,353
332,352
333,350
334,350
335,348
336,348
337,353
338,350
339,348
340,377
341,875
342,377
343,875
344,359
345,875
346,377
347,377
348,374
349,374
350,374
351,374
352,517
353,170
354,389
355,516
356,516
357,389
358,517
359,517
360,267
361,517
362,516
363,516
364,516
365,83
366,465
367,89
368,86
369,610
370,610
371,610
372,610
373,499
374,499
375,499
376,289
377,279
378,683
379,697
380,586
381,586
382,705
383,304
384,586
385,705
386,310
387,310
388,377
389,656
390,656
391,301
392,465
393,517
394,517
395,301
396,310
397,310
398,310
399,310
400,611
401,301
402,465
403,516
404,516
405,175
406,799
407,423
408,423
409,494
410,656
411,666
412,666
413,666
414,656
415,663
416,663
417,361
418,359
419,359
420,359
421,359
422,359
423,546
424,546
425,546
426,546
427,394
428,494
429,494
430,332
431,542
432,363
433,263
434,263
435,263
436,262
437,262
438,267
439,267
440,171
441,171
442,171
443,267
444,267
445,171
446,267
447,267
448,267
449,267
450,267
451,517
452,267
453,267
454,267
455,267
456,267
457,267
458,267
459,267
460,267
461,267
462,267
463,517
464,586
465,626
466,630
467,807
468,807
469,314
470,694
471,697
472,803
473,803
474,826
475,825
476,852
477,849
478,825
479,825
480,825
481,304
482,353
483,339
484,339
485,339
486,517
487,517
488,363
489,363
490,350
491,374
492,374
493,374
494,377
495,377
496,875
497,96
498,498
499,498
500,498
501,494
502,500
503,498
504,498
505,498
506,500
507,498
508,489
509,491
510,489
511,489
512,660
513,660
514,660
515,656
516,662
517,662
518,666
519,665
520,665
521,301
522,639
523,462
524,638
525,638
526,638
527,353
528,164
529,164
530,550
531,550
532,550
533,547
534,547
535,547
536,547
537,665
538,665
539,662
540,461
541,461
542,289
543,163
544,693
545,693
546,693
547,693
548,693
549,339
550,339
551,163
552,400
553,400
554,407
555,339
556,400
557,400
558,499
559,499
560,800
561,799
562,799
563,799
564,799
565,800
566,528
567,528
568,528
569,528
570,348
571,353
572,353
573,353
574,348
575,545
576,663
577,663
578,353
579,377
580,377
581,377
582,374
583,374
584,377
585,374
586,374
587,377
588,374
589,528
590,528
591,528
592,528
593,374
594,374
595,374
596,374
597,374
598,105
599,109
600,498
601,500
602,500
603,500
604,500
605,500
606,500
607,500
608,500
609,500
610,498
611,500
612,499
613,489
614,491
615,491
616,491
617,488
618,491
619,528
620,528
621,528
622,528
623,582
624,582
625,582
626,516
627,516
628,483
629,488
630,488
631,399
632,666
633,666
634,663
635,663
636,391
637,391
638,390
639,391
640,391
641,391
642,394
643,391
644,656
645,666
646,666
647,109
648,109
649,610
650,582
651,582
652,400
653,400
654,400
655,400
656,400
657,400
658,400
659,400
660,400
661,400
662,400
663,400
664,400
665,491
666,483
667,483
668,483
669,483
670,398
671,490
672,494
673,494
674,398
675,399
676,490
677,399
678,398
679,490
680,494
681,494
682,399
683,398
684,398
685,398
686,398
687,490
688,490
689,490
690,490
691,398
692,397
693,398
694,398
695,494
696,494
697,494
698,494
699,500
700,839
701,698
702,586
703,586
704,803
705,494
706,660
707,582
708,582
709,582
710,582
711,339
712,339
713,339
714,339
715,339
716,364
717,825
718,825
719,825
720,825
721,825
722,825
723,825
724,825
725,656
726,660
727,374
728,560
729,560
730,693
731,293
732,293
733,693
734,309
735,293
736,560
737,810
738,810
739,298
740,613
741,291
742,291
743,293
744,291
745,291
746,291
747,693
748,693
749,693
750,693
751,693
752,807
753,807
754,807
755,780
756,666
757,666
758,666
759,666
760,666
761,663
762,663
763,663
764,666
765,656
766,656
767,662
768,663
769,662
770,662
771,666
772,666
773,662
774,662
775,666
776,666
777,663
778,666
779,665
780,665
781,665
782,666
783,665
784,665
785,638
786,461
787,633
788,631
789,631
790,635
791,461
792,633
793,459
794,219
795,219
796,219
797,461
798,461
799,635
800,635
801,635
802,635
803,635
804,635
805,635
806,360
807,360
808,360
809,360
810,339
811,339
812,359
813,359
814,359
815,361
816,922
817,875
818,875
819,875
820,875
821,171
822,171
823,171
824,174
825,393
826,398
827,317
828,665
829,545
830,546
831,314
832,968
833,968
834,963
835,963
836,966
837,963
838,963
839,963
840,966
841,966
842,963
843,963
844,966
845,966
846,963
847,963
848,963
849,963
850,968
851,963
852,963
853,963
854,963
855,963
856,963
857,963
858,963
859,963
860,963
861,963
862,963
863,860
864,968
865,968
866,968
867,968
868,968
869,968
870,968
871,968
872,968
873,860
874,867
875,860
876,860
877,958
878,968
879,968
880,958
881,860
882,968
883,905
884,905
885,905
886,905
887,860
888,860
889,860
890,860
891,860
892,905
893,860
894,860
895,860
896,860
897,905
898,860
899,905
900,860
901,905
902,860
903,860
904,905
905,905
906,905
907,860
908,860
909,905
910,860
911,860
912,905
913,860
914,860
915,860
916,860
917,860
918,860
919,860
920,866
921,860
922,866
923,860
924,860
925,861
926,861
927,860
928,860
929,860
930,867
931,860
932,860
933,860
934,860
935,860
936,861
937,861
938,861
939,861
940,861
941,861
942,861
943,860
944,861
945,861
946,825
947,756
948,756
949,756
950,756
951,756
952,854
953,756
954,854
955,854
956,861
957,856
958,861
959,854
960,856
961,861
962,861
963,855
964,855
965,756
966,854
967,854
968,756
969,861
970,861
971,592
972,856
973,856
974,854
975,854
976,756
977,756
978,756
979,756
980,756
981,756
982,756
983,756
984,756
985,592
986,591
987,592
988,592
989,591
990,592
991,592
992,592
993,592
994,591
995,591
996,593
997,593
998,593
999,593
1000,593
1001,593
1002,593
1003,593
1004,593
1005,593
1006,594
1007,593
1008,594
1009,594
1010,593
1011,591
1012,591
1013,593
1014,593
1015,593
1016,591
1017,591
1018,591
1019,591
1020,314
1021,582
1022,582
1023,582
1024,582
1025,582
1026,582
1027,694
1028,683
1029,683
1030,683
1031,683
1032,694
1033,683
1034,683
1035,683
1036,683
1037,683
1038,799
1039,800
1040,683
1041,800
1042,800
1043,683
1044,683
1045,799
1046,683
1047,683
1048,683
1049,799
1050,683
1051,683
1052,834
1053,698
1054,683
1055,799
1056,799
1057,800
1058,801
1059,698
1060,698
1061,697
1062,586
1063,586
1064,697
1065,698
1066,697
1067,697
1068,697
1069,106
1070,304
1071,304
1072,304
1073,304
1074,304
1075,304
1076,304
1077,304
1078,304
1079,304
1080,110
1081,610
1082,610
1083,110
1084,110
1085,499
1086,610
1087,610
1088,499
1089,499
1090,505
1091,505
1092,109
1093,499
1094,499
1095,528
1096,528
1097,505
1098,105
1099,505
1100,505
1101,505
1102,193
1103,105
1104,528
1105,528
1106,505
1107,528
1108,528
1109,528
1110,528
1111,528
1112,528
1113,528
1114,528
1115,528
1116,825
1117,827
1118,827
1119,827
1120,827
1121,825
1122,825
1123,825
1124,826
1125,825
1126,826
1127,825
1128,825
1129,828
1130,828
1131,852
1132,828
1133,828
1134,827
1135,828
1136,582
1137,528
1138,499
1139,499
1140,500
1141,498
1142,500
1143,500
1144,500
1145,500
1146,489
1147,489
1148,501
1149,498
1150,498
1151,503
1152,393
1153,393
1154,483
1155,483
1156,483
1157,399
1158,163
1159,163
1160,163
1161,163
1162,219
1163,369
1164,175
1165,175
1166,175
1167,175
1168,175
1169,175
1170,175
1171,175
1172,175
1173,175
1174,175
1175,175
1176,175
1177,175
1178,175
1179,175
1180,517
1181,517
1182,262
1183,267
1184,267
1185,263
1186,267
1187,171
1188,171
1189,267
1190,267
1191,267
1192,267
1193,267
1194,267
1195,267
1196,267
1197,550
1198,613
1199,611
1200,465
1201,310
1202,310
1203,310
1204,301
1205,301
