gis_id,isBridge,isMajor,length_m,structType
0,0,1,430.653983358,1
1,0,1,430.653983358,1
2,0,1,2484.04204689,1
3,0,1,2484.04204689,1
4,0,1,2484.04204689,1
5,0,1,3939.69438054,1
6,0,1,533.96659682,1
7,0,1,533.96659682,1
8,0,1,422.012897219,1
9,1,1,1560.99960883,3
10,0,1,313.057423014,1
11,0,1,487.050333259,1
12,0,1,161.659427207,1
13,0,1,138.755573319,1
14,1,1,80.9960447986,4
15,0,1,433.894440921,1
16,0,1,327.592154345,1
17,0,1,126.348525335,1
18,0,1,440.172140859,1
19,0,1,3940.33107479,1
20,0,1,55.8198318036,1
21,0,1,393.75800793,1
22,0,1,315.873151138,1
23,0,1,6499.96462227,1
24,0,1,722.352339224,1
25,0,1,294.539086949,1
26,0,1,650.300536959,1
27,0,1,583.173848366,1
28,0,1,694.468763375,1
29,0,1,2583.58816408,1
30,0,1,2583.58816408,1
31,0,1,2583.58816408,1
32,0,1,2583.58816408,1
33,0,1,2583.58816408,1
34,0,1,949.122529809,1
35,0,1,949.122529809,1
36,0,1,1096.03593358,1
37,0,1,1096.03593358,1
38,0,1,706.719960245,1
39,0,1,337.919415938,1
40,0,1,293.763651427,1
41,0,1,293.763651427,1
42,0,1,730.039212707,1
43,0,1,985.61118599,1
44,0,1,985.61118599,1
45,1,1,49.7212265864,4
46,0,1,864.36564713,1
47,0,1,864.36564713,1
48,0,1,566.874522898,1
49,0,1,604.386586747,1
50,0,1,485.420048221,1
51,0,1,485.420048221,1
52,0,1,673.915798387,1
53,0,1,948.388265594,1
54,0,1,948.388265594,1
55,0,1,377.380762535,1
56,0,1,343.120344413,1
57,0,1,419.856237713,1
58,0,1,419.856237713,1
59,0,1,66.0670786476,1
60,0,1,397.419759308,1
61,0,1,187.234915693,1
62,0,1,454.791920465,1
63,0,1,454.791920465,1
64,0,1,307.669568245,1
65,0,1,219.499251709,1
66,0,1,276.708928941,1
67,0,1,193.227264122,1
68,0,1,288.304716983,1
69,0,1,658.737407913,1
70,0,1,658.737407913,1
71,0,1,335.692345293,1
72,0,1,131.067332219,1
73,0,1,179.180724122,1
74,0,1,405.277072171,1
75,0,1,353.709713137,1
76,0,1,94.779031952,1
77,0,1,851.308881345,1
78,0,1,685.930522617,1
79,0,1,1256.77748662,1
80,0,1,199.907379643,1
81,0,1,510.688126424,1
82,0,1,677.959020814,1
83,0,1,160.030242546,1
84,0,1,412.965861439,1
85,0,1,2132.7458456,1
86,0,1,2132.7458456,1
87,0,1,2132.7458456,1
88,0,1,1029.45914774,1
89,0,1,679.829247156,1
90,0,1,438.940514481,1
91,0,1,274.525387736,1
92,0,1,511.009474834,1
93,0,1,525.517680097,1
94,0,1,244.752884762,1
95,1,1,71.5397050782,4
96,0,1,262.950692322,1
97,0,1,118.291310248,1
98,0,1,118.291310248,1
99,0,1,494.244900109,1
100,0,1,494.244900109,1
101,1,1,57.5778206747,4
102,1,1,57.5778206747,4
103,0,1,238.24193963,1
104,0,1,638.448390711,1
105,0,1,522.768357862,1
106,0,1,846.254940788,1
107,0,1,180.029216639,1
108,1,1,64.9041968495,4
109,0,1,795.849903109,1
110,1,1,63.5247475362,4
111,0,1,933.576390691,1
112,0,1,491.260405002,1
113,1,1,80.8104618694,4
114,1,1,77.4436272889,4
115,1,1,74.0854037591,4
116,0,1,582.384201369,1
117,0,1,582.384201369,1
118,0,1,623.818814923,1
119,0,1,614.156417952,1
120,0,1,614.156417952,1
121,0,1,558.095825601,1
122,0,1,558.095825601,1
123,0,1,404.097866041,1
124,1,1,144.711042856,4
125,0,1,112.071724526,1
126,0,1,34.3443251485,1
127,1,1,57.3147215798,4
128,0,1,82.9162486752,1
129,0,1,183.607785391,1
130,1,1,65.7808735465,4
131,0,1,297.467122018,1
132,0,1,588.079201262,1
133,0,1,588.079201262,1
134,1,1,40.5324545505,4
135,1,1,40.7538154802,4
136,0,1,79.6262948938,1
137,0,1,280.051177588,1
138,0,1,295.392055422,1
139,0,1,294.554694527,1
140,0,1,192.67977102,1
141,0,1,392.586821909,1
142,1,1,53.6843361588,4
143,0,1,306.332490499,1
144,0,1,1906.47857544,1
145,0,1,1906.47857544,1
146,0,1,1906.47857544,1
147,1,1,362.5011389,3
148,1,1,318.464469578,3
149,0,1,933.428161024,1
150,1,1,43.0858250979,4
151,0,1,150.444138366,1
152,0,1,483.298239643,1
153,0,1,483.298239643,1
154,0,1,483.298239643,1
155,0,1,372.380984169,1
156,1,1,64.8055816835,4
157,0,1,222.476260614,1
158,0,1,134.282498045,1
159,0,1,467.771538118,1
160,1,1,74.5345966596,4
161,1,1,184.730595898,3
162,1,1,184.730595898,3
163,0,1,52.0592565363,1
164,0,1,359.135802064,1
165,0,1,220.383557651,1
166,0,1,300.308144189,1
167,0,1,162.033469846,1
168,1,1,54.8568568532,4
169,0,1,554.035780016,1
170,1,1,57.738258058,4
171,0,1,567.407266615,1
172,0,1,567.407266615,1
173,1,1,39.1821976753,4
174,0,1,726.755623217,1
175,0,1,726.755623217,1
176,1,1,38.2311283483,4
177,0,1,153.64104298,1
178,1,1,495.014123028,3
179,0,1,351.276623764,1
180,1,1,487.820029033,3
181,1,1,21.8890767108,4
182,1,1,21.0328533255,4
183,1,1,55.8552445937,4
184,0,1,419.867076976,1
185,1,1,51.8964175005,4
186,1,1,71.0110223572,4
187,0,1,138.657782082,1
188,0,1,937.052765414,1
189,0,1,937.052765414,1
190,0,1,228.277985835,1
191,1,1,201.453660659,3
192,0,1,271.427213802,1
193,0,1,47.1148571551,1
194,0,1,684.89199198,1
195,0,1,684.89199198,1
196,0,1,2517.07511457,1
197,0,1,2517.07511457,1
198,1,1,54.0377268833,4
199,1,1,51.1329263386,4
200,0,1,503.536540412,1
201,1,1,53.289527041,4
202,0,1,168.427767832,1
203,1,1,30.2201712271,4
204,1,1,33.5210232028,4
205,0,1,171.070617123,1
206,0,1,1053.46097879,1
207,1,1,46.3610567332,4
208,0,1,800.682583316,1
209,1,1,128.655055909,4
210,0,1,1656.53934041,1
211,0,1,1656.53934041,1
212,0,1,1660.10435788,1
213,0,1,1660.10435788,1
214,1,1,135.340694507,4
215,0,1,624.571122258,1
216,0,1,97.8233907574,1
217,0,1,390.462183685,1
218,0,1,796.886608385,1
219,0,1,777.306487569,1
220,0,1,777.306487569,1
221,0,1,497.921935596,1
222,0,1,497.921935596,1
223,1,1,600.903340276,3
224,1,1,340.487367526,3
225,0,1,600.736172181,1
226,0,1,203.210987042,1
227,0,1,198.842132367,1
228,0,1,193.145647345,1
229,0,1,259.184797685,1
230,0,1,423.442662808,1
231,0,1,223.873958174,1
232,0,1,223.873958174,1
233,0,1,592.552001239,1
234,0,1,374.471434331,1
235,0,1,270.672603005,1
236,0,1,268.124472159,1
237,0,1,236.014040343,1
238,0,1,1843.06030616,1
239,1,1,535.13455365,3
240,1,1,530.763824262,3
241,1,1,1160.89592337,3
242,0,1,2209.09837631,1
243,0,1,120.664087333,1
244,1,1,989.471958407,3
245,0,1,332.355427705,1
246,0,1,332.355427705,1
247,0,1,52.1482846645,1
248,1,1,720.70477097,3
249,1,1,208.98051747,3
250,0,1,121.926765921,1
251,0,1,44.1298658932,1
252,0,1,49.9693756814,1
253,0,1,372.694099658,1
254,0,1,372.694099658,1
255,0,1,376.057453797,1
256,0,1,376.057453797,1
257,0,1,159.957129184,1
258,0,1,70.0168824306,1
259,1,1,145.171734077,4
260,0,1,84.257129748,1
261,0,1,42.148986329,1
262,0,1,37.9626488433,1
263,0,1,74.9130581556,1
264,0,1,68.7651358725,1
265,1,1,48.7484546808,4
266,0,1,127.982068942,1
267,1,1,112.317525959,4
268,0,1,80.9647127098,1
269,0,1,289.636597445,1
270,0,1,366.026426222,1
271,0,1,380.256662426,1
272,0,1,224.275540824,1
273,0,1,133.772359744,1
274,0,1,133.772359744,1
275,0,1,238.928666298,1
276,0,1,89.3521397163,1
277,0,1,128.351304144,1
278,0,1,107.567315996,1
279,0,1,380.214923943,1
280,0,1,308.158399764,1
281,0,1,248.210450944,1
282,1,1,805.673980426,3
283,1,1,804.305604204,3
284,1,1,184.836437902,3
285,0,1,307.912594009,1
286,1,1,186.076588318,3
287,0,1,272.750606106,1
288,0,1,272.750606106,1
289,0,1,291.58847489,1
290,0,1,325.079129532,1
291,0,1,282.545534523,1
292,0,1,344.95788864,1
293,0,1,218.24125138,1
294,0,1,289.204974533,1
295,0,1,289.204974533,1
296,0,1,246.262663859,1
297,0,1,1175.0758717,1
298,1,1,153.007466429,3
299,0,1,992.790452858,1
300,1,1,156.979876879,3
301,1,1,59.1903236701,4
302,0,1,57.5250981934,1
303,0,1,206.641485932,1
304,0,1,324.801369837,1
305,1,1,76.7476998186,4
306,0,1,603.142271761,1
307,1,1,60.8030294741,4
308,1,1,70.9564153566,4
309,0,1,1011.03502726,1
310,1,1,76.4886683277,4
311,0,1,95.5539683934,1
312,0,1,350.253200972,1
313,0,1,257.602575356,1
314,1,1,75.212246877,4
315,1,1,66.4782175595,4
316,0,1,268.804787704,1
317,1,1,67.8794614147,4
318,0,1,532.276197055,1
319,0,1,257.572089562,1
320,0,1,257.572089562,1
321,0,1,255.147443197,1
322,0,1,411.719771731,1
323,0,1,411.719771731,1
324,0,1,151.411307616,1
325,1,1,858.756950773,3
326,0,1,500.094936431,1
327,1,1,114.143413823,4
328,0,1,1388.0088572,1
329,0,1,1388.0088572,1
330,1,1,34.8069361928,4
331,0,1,35.2196158305,1
332,1,1,832.573083399,3
333,0,1,821.483987902,1
334,0,1,821.483987902,1
335,1,1,264.76634579,3
336,0,1,377.692039714,1
337,1,1,69.0802797455,4
338,0,1,532.572642168,1
339,1,1,261.591047896,3
340,0,1,193.092044533,1
341,0,1,852.600556752,1
342,1,1,411.788850686,3
343,0,1,677.453572476,1
344,0,1,677.453572476,1
345,0,1,858.460724416,1
346,0,1,31.3994471108,1
347,1,1,413.833176449,3
348,1,1,595.521391674,3
349,0,1,510.422904757,1
350,0,1,510.422904757,1
351,1,1,332.546564406,3
352,0,1,275.075138737,1
353,0,1,5460.71105307,1
354,0,1,5460.71105307,1
355,0,1,1288.78309305,1
356,0,1,1288.78309305,1
357,0,1,176.257513606,1
358,0,1,76.7873890123,1
359,0,1,1468.0286591,1
360,0,1,1468.0286591,1
361,0,1,159.806499479,1
362,0,1,597.081875346,1
363,0,1,240.440030161,1
364,0,1,4907.71870124,1
365,0,1,4907.71870124,1
366,0,1,450.355189764,1
367,0,1,1170.54026971,1
368,0,1,1170.54026971,1
369,0,1,418.426552559,1
370,0,1,418.426552559,1
371,0,1,418.426552559,1
372,0,1,704.30889758,1
373,1,1,55.4093515071,4
374,1,1,58.0629044405,4
375,0,1,459.832901084,1
376,0,1,291.387745163,1
377,0,1,144.898966812,1
378,0,1,548.931800681,1
379,1,1,57.6386827142,4
380,0,1,726.409284858,1
381,1,1,57.7680724969,4
382,1,1,567.359496815,3
383,0,1,2099.26009699,1
384,1,1,562.572599356,3
385,0,1,345.908878639,1
386,0,1,233.336729677,1
387,0,1,131.123470946,1
388,0,1,400.776610497,1
389,0,1,419.486430052,1
390,0,1,419.486430052,1
391,0,1,362.117678464,1
392,0,1,352.185187062,1
393,0,1,463.905138742,1
394,0,1,264.817037372,1
395,1,1,160.332096556,3
396,0,1,2063.61391037,1
397,0,1,2063.61391037,1
398,1,1,158.903213621,3
399,0,1,264.021710297,1
400,0,1,356.117000807,1
401,0,1,275.329949832,1
402,0,1,296.104947022,1
403,0,1,1546.10276148,1
404,0,1,1546.10276148,1
405,0,1,37.2755376034,1
406,0,1,462.836997972,1
407,0,1,544.852564711,1
408,0,1,544.852564711,1
409,0,1,412.394108971,1
410,0,1,627.140729016,1
411,0,1,627.140729016,1
412,0,1,627.140729016,1
413,0,1,627.140729016,1
414,1,1,29.2762095069,4
415,1,1,26.2591725767,4
416,0,1,177.286818258,1
417,0,1,339.495801344,1
418,0,1,420.241549148,1
419,0,1,37.3297885341,1
420,0,1,236.657747786,1
421,0,1,38.1247083124,1
422,0,1,424.276827947,1
423,1,1,34.1316877633,4
424,0,1,589.420282962,1
425,0,1,589.420282962,1
426,1,1,31.611168125,4
427,0,1,284.552738733,1
428,0,1,639.950983895,1
429,0,1,635.011605906,1
430,0,1,293.824383541,1
431,0,1,479.895719899,1
432,0,1,742.67102169,1
433,0,1,280.508457258,1
434,0,1,299.183795916,1
435,0,1,287.349592388,1
436,0,1,287.349592388,1
437,0,1,38.6939629477,1
438,0,1,399.522014096,1
439,0,1,396.355833768,1
440,0,1,458.24776846,1
441,0,1,409.079967141,1
442,0,1,793.939821225,1
443,0,1,793.939821225,1
444,0,1,951.485117123,1
445,0,1,951.485117123,1
446,0,1,657.901586461,1
447,0,1,746.413142456,1
448,0,1,746.413142456,1
449,0,1,746.413142456,1
450,0,1,1477.60968485,1
451,0,1,1477.60968485,1
452,0,1,492.184886655,1
453,0,1,146.906091787,1
454,0,1,459.072296175,1
455,0,1,459.072296175,1
456,0,1,416.490779259,1
457,0,1,288.484852605,1
458,0,1,210.27856419,1
459,0,1,330.371888532,1
460,0,1,276.275707083,1
461,0,1,578.876769366,1
462,0,1,315.735188007,1
463,0,1,137.538397397,1
464,0,1,372.473816854,1
465,1,1,52.3299324618,4
466,0,1,136.909642704,1
467,0,1,303.663382577,1
468,0,1,329.474150873,1
469,1,1,2152.75793361,3
470,1,1,618.006097218,3
471,0,1,996.296417032,1
472,0,1,373.344384673,1
473,1,1,191.40046608,3
474,1,1,186.95552171,3
475,0,1,1903.99892639,1
476,0,1,1903.99892639,1
477,0,1,1903.99892639,1
478,0,1,464.942589964,1
479,0,1,464.942589964,1
480,0,1,464.942589964,1
481,1,1,630.091600671,3
482,0,1,471.30178491,1
483,0,1,156.309881686,1
484,0,1,118.479774049,1
485,1,1,99.5980969192,4
486,0,1,142.464386213,1
487,0,1,142.464386213,1
488,0,1,472.431953898,1
489,0,1,472.431953898,1
490,0,1,62.4070497665,1
491,1,1,402.589379277,3
492,0,1,451.63278541,1
493,1,1,403.924730885,3
494,0,1,253.133894798,1
495,1,1,80.4280216514,4
496,1,1,45.2782072531,4
497,0,1,340.944057767,1
498,1,1,321.351317651,3
499,1,1,322.871802037,3
500,0,1,2170.99518395,1
501,0,1,2170.99518395,1
502,1,1,58.2798028557,4
503,0,1,316.351154828,1
504,0,1,316.351154828,1
505,1,1,60.4350227869,4
506,0,1,310.015797241,1
507,0,1,188.742655699,1
508,1,1,45.5799997956,4
509,0,1,473.643560094,1
510,0,1,594.50641755,1
511,1,1,46.0292028879,4
512,1,1,54.5453878709,4
513,0,1,280.365681802,1
514,1,1,57.4735509997,4
515,0,1,119.869656322,1
516,0,1,335.109071529,1
517,1,1,44.2366904103,4
518,0,1,2181.44554738,1
519,0,1,2181.44554738,1
520,0,1,2181.44554738,1
521,0,1,1372.55267038,1
522,1,1,48.4820564407,4
523,0,1,495.597752115,1
524,0,1,117.275077702,1
525,0,1,121.159060771,1
526,0,1,486.763206934,1
527,0,1,45.8191335727,1
528,0,1,869.516081659,1
529,0,1,192.453250244,1
530,1,1,53.3658965552,4
531,0,1,195.850314224,1
532,0,1,195.850314224,1
533,0,1,958.352774966,1
534,0,1,958.352774966,1
535,0,1,958.352774966,1
536,0,1,958.352774966,1
537,0,1,525.109571614,1
538,0,1,525.109571614,1
539,0,1,60.6554215429,1
540,0,1,645.219376058,1
541,0,1,645.219376058,1
542,0,1,260.55474733,1
543,0,1,113.363040927,1
544,0,1,400.05300019,1
545,1,1,77.4665943485,4
546,0,1,299.7642333,1
547,0,1,216.235732999,1
548,0,1,339.415028263,1
549,0,1,464.678633561,1
550,0,1,464.678633561,1
551,0,1,99.9308294772,1
